id,label
110499,1
101319,0
108883,0
100925,1
110852,1
109538,0
108874,0
100082,1
110470,0
109725,1
103874,0
108214,1
102266,1
112940,0
102318,1
102162,1
106268,0
101888,1
108397,1
100901,1
106980,0
106283,0
110891,0
103818,0
111938,1
106200,1
109116,1
107311,1
102213,1
112378,1
110819,0
112456,0
110846,0
104540,0
110136,0
110718,1
103530,1
101797,1
110143,0
102987,1
108970,1
102506,1
109392,1
100695,1
103336,0
110388,1
101995,0
109812,0
107717,0
106342,0
112201,0
104207,0
105057,0
100110,1
103594,0
110747,0
101456,0
108880,0
103008,1
112871,1
101314,1
110408,1
110125,1
106336,0
104844,1
101023,0
110072,0
107032,1
105883,0
101843,1
108219,0
110919,1
104064,1
103193,1
100828,0
103003,0
101164,1
100528,1
103058,1
105311,0
103760,1
106328,1
102560,0
112713,1
110644,0
100809,0
110002,1
100998,0
107593,1
110869,0
109575,1
104607,1
100909,1
106267,0
112285,1
109520,0
100407,0
101775,0
100014,1
103061,0
112266,0
112412,0
109710,0
110987,0
109718,0
104144,1
103589,0
102550,0
106958,1
103499,1
111890,0
109223,1
106925,0
108481,0
112029,0
108155,1
105843,0
101345,1
107741,0
102728,0
100850,1
100504,1
105346,0
109888,1
108400,1
104394,1
101142,0
102330,0
108077,0
101814,1
102177,0
109238,1
100574,1
109178,0
106081,0
106866,0
109104,1
105642,0
100929,1
101772,1
103053,1
102481,0
107776,1
105950,1
103950,0
103100,0
109152,0
107769,1
103549,1
104228,1
107568,0
110815,1
111073,1
103370,0
109466,1
111769,0
112206,0
107069,1
105031,1
111235,1
103743,1
104359,1
111945,1
108791,1
109643,1
101520,1
112325,0
101469,0
108466,1
103537,1
108822,0
102741,0
101743,0
104771,1
100372,0
102904,1
106915,0
102556,0
101691,1
108082,0
110304,1
108477,1
104413,1
107838,1
105236,0
104888,1
108660,1
101097,1
100898,1
109257,0
111778,0
110487,1
109544,0
103107,0
107387,1
110344,1
111476,1
105187,0
107940,1
110249,0
104546,0
104241,1
109098,1
112880,1
103990,1
104564,1
109692,0
100304,1
101494,1
101688,1
111661,1
101406,1
112311,0
103768,1
108906,0
106001,1
107261,1
110949,1
111273,0
100640,0
107352,0
110660,1
106307,0
103154,1
111774,0
110081,1
112079,1
104736,0
104177,1
105138,1
103292,0
100016,1
111430,1
104809,0
103027,1
107704,0
110441,0
107177,1
109366,0
111095,1
100937,0
110243,1
104071,0
102230,1
100006,0
106089,0
100475,1
103025,0
105558,1
102373,0
102413,0
110502,1
100718,0
111564,0
104578,0
102524,1
105505,1
105822,1
107768,1
104746,1
103572,0
111349,0
105990,0
101898,0
111599,0
105625,0
110983,0
101698,0
102444,1
106942,1
112167,1
110343,1
102487,1
102324,1
101909,1
109097,1
112284,1
106728,1
100520,0
106520,1
111748,1
109923,1
112841,0
100904,0
102151,0
109478,1
106786,1
111885,1
106019,1
101001,1
104347,0
107252,1
101006,0
107273,0
106234,1
105976,0
110358,0
104906,1
112316,1
108597,0
100961,0
107412,1
102753,1
102348,1
111274,1
106296,0
110746,0
112058,0
103325,0
109233,0
103252,1
102264,1
103083,0
102659,1
100786,0
109234,1
105808,0
111093,1
108148,0
101394,1
110584,1
109972,0
110836,1
100721,0
110938,0
104584,0
105383,0
106788,1
106155,1
112908,1
102150,1
105203,1
101715,1
112455,1
108842,0
110082,0
112942,1
100705,0
112726,0
106994,1
101067,1
107180,1
106284,0
103534,1
102845,0
111677,0
112109,0
102912,1
105550,1
106888,0
108368,1
105278,0
107129,1
109092,1
108075,0
112502,0
108458,0
104122,1
100248,0
107418,0
104573,0
110435,0
104076,1
100580,0
103249,1
107921,0
111163,1
104534,0
111762,1
101005,1
112380,0
104189,1
111382,1
111360,1
111491,1
104634,0
100019,0
108508,1
101208,0
100406,0
109405,0
110400,0
110944,1
109839,0
109048,0
108306,1
106725,1
104821,0
108233,1
108501,1
112805,1
109357,0
101950,1
109081,1
104895,0
107504,0
105095,1
103218,0
109781,0
104440,1
102486,1
105292,1
109455,1
107573,0
108675,1
107912,1
101256,1
108732,0
105884,0
105742,1
110252,1
101160,1
102337,1
104059,0
104964,0
109072,0
107310,0
101555,1
112589,1
107524,1
105359,1
101799,0
106124,1
109952,1
103740,0
111591,1
106796,0
108702,1
102925,1
109750,1
101117,0
110173,1
104216,1
108034,0
111464,1
101690,1
102502,1
104017,0
104969,0
106563,1
102708,1
104315,0
107949,1
101783,1
112633,1
109523,0
101952,1
104913,1
106127,1
109918,1
103597,1
100626,1
110532,0
111904,1
104702,0
112522,0
103890,0
111598,0
101615,0
104742,0
102436,1
109227,1
106660,1
104631,0
101201,0
101200,1
100783,1
105728,1
104586,1
112391,0
100594,0
106204,0
109619,0
111640,1
110300,1
100675,1
105688,1
103735,0
110467,0
110687,0
107239,1
106822,1
100222,0
100932,0
112107,1
107176,1
110279,0
107633,0
100726,0
100441,0
107750,1
109585,1
109177,1
111735,1
110367,1
111448,0
105273,1
100521,0
107166,1
101999,1
107806,1
107204,1
111201,1
106867,1
102427,1
101807,0
101717,0
101798,0
111477,1
102644,1
102501,0
108035,1
111521,0
101537,1
108356,1
100286,0
107242,1
111714,0
105167,0
110132,0
111089,1
103455,1
108129,1
108659,1
105818,0
112405,0
107955,0
102699,1
109322,1
106530,1
103531,1
106449,1
108177,0
112243,0
111503,1
112610,0
109879,1
101320,1
105521,1
106854,1
103015,1
102806,0
111549,0
109175,0
106923,0
110101,1
105515,1
106881,0
108681,1
103213,1
112889,0
101859,1
109701,1
107681,0
106195,0
109674,0
103005,1
111013,0
106148,0
101946,1
107392,1
106944,1
111628,1
112535,1
102976,0
111976,0
108753,1
